Username,Email,Password,"Roll No","Class Name","Class Section","First Name","Middle Name","Last Name",Gender,"Birth Date",Address,"City Name","State Name","Zip Code","Mobile Number","Alternate Mobile Number",user_profile
aaron5,aaron5@example.com,,1005,"class 1"," ",Aaron,Robert,Benson,female,2018/05/11,"93574 Garcia Walk",Michaelberg,Maryland,85740,8895012379,2743592511,
alyssa36,alyssa36@example.com,,1036,"class 1"," ",Alyssa,Melissa,White,male,15-05-2015,"6191 Kimberly Burgs Suite 446",Austinfurt,Montana,33369,9176317069,5607927245,
angela38,angela38@example.com,,1038,"class 1"," ",Angela,David,Wagner,female,01-08-2018,"43204 Gibson Vista Apt. 739","Port Bryan",Kentucky,78036,6362281433,1842680058,
angela42,angela42@example.com,,1042,"class 1"," ",Angela,Teresa,Martinez,female,21-11-2015,"10047 Robert Roads",Stephanieburgh,Oregon,99901,3974325275,4419586435,
ashley2,ashley2@example.com,,1002,"class 1"," ",Ashley,Cheyenne,Wilson,female,13-11-2014,"10940 Garcia Lake",Matthewmouth,Delaware,27802,5717327296,2362672041,
brandon23,brandon23@example.com,,1023,"class 1"," ",Brandon,Whitney,Adams,female,11-12-2017,"83009 Kelly Mall Suite 570",Denisestad,"South Carolina",53790,8375192428,1305611485,
brenda6,brenda6@example.com,,1006,"class 1"," ",Brenda,Heather,Peterson,male,18-07-2015,"5532 Bird River Apt. 355","New Jasontown",Washington,4327,1933133158,7647513151,
brian26,brian26@example.com,,1026,"class 1"," ",Brian,Kevin,Cordova,female,06-07-2018,"0962 Arnold Pike Suite 930",Bellfurt,Colorado,19959,6558073176,5384977516,
brooke39,brooke39@example.com,,1039,"class 1"," ",Brooke,William,Nelson,female,27-02-2017,"394 Cole Rapid Apt. 241",Danielsbury,Colorado,58809,3320943102,599203425,
bryan34,bryan34@example.com,,1034,"class 1"," ",Bryan,Aaron,Duncan,male,22-08-2018,"752 Herring Shore Apt. 619","Port Stephanieville","Rhode Island",44972,1639113829,2181827173,
charlotte44,charlotte44@example.com,,1044,"class 1"," ",Charlotte,Bryan,Robinson,female,2017/06/26,"143 Bradley Harbor","West Carrie",Georgia,7566,7251610437,7538559043,
christina14,christina14@example.com,,1014,"class 1"," ",Christina,Allison,Cain,male,31-07-2017,"046 Dawson Orchard","South Jasonside",Arkansas,78163,7158641058,4059795620,
deborah28,deborah28@example.com,,1028,"class 1"," ",Deborah,Matthew,Webb,male,01-10-2016,"6784 Nicole Loop","Port Heatherhaven",Iowa,38964,6616379507,6349162015,
